Club_Name, Store_Name, Time, Address, Phone
venue art,MOCA,Mon & Weds: 11am-6pmThursday: 11am-8pmFriday: 11am-6pmSat & Sun: 11am-5pm,250 S Grand Downtown,213-626-6222
venue art,The Hammer Store,Tue - Fri 11am - 8pmSat & Sun 11am - 5pm,10899 Wilshire Westwood,310-443-7000
venue art,Cinefamily,Daily Showings,611 N Fairfax Beverly Grove,323-655-2510
venue art,Otherwild,Mon - Sat 12pm-7pmSun 11pm - 6pm,1768 N Vermont Los Feliz,323-546-8437
venue art,Poketo,Mon - Wed 12pm - 7pmThurs - Sun 11am - 7pm,820 E 3rd Arts District,213-537-0751
venue music,Audio for All,,Los Angeles The Internet,(213) 260-2357
venue music,Bring The Noise,,5905 Wilshire Mid-Wilshire,(323) 857-6010
venue music,The Hi Hat,Mon - Sun 7pm-2am,5043 York Highland Park,(323) 258-4427
venue music,Perfect Circuit Audio,Mon - Fri 10am - 7pmSat 12pm - 6pm,2405 W Empire Burbank,(818) 709-1727
venue music,Perpetual Dawn,Monthly and  9:30pm - 6am,RSVP for Address Chinatown,
venue wildcard,WORSHIP,Mon -Fri: 12 pm -8 pm,1104 Mohawk St Echo Park,(213) 352-4155
venue wildcard,MYKITA,Mon - Sat: 11am - 7pmSunday: 12pm - 6pm,847 S Broadway Downtown,(213) 335 - 5815
venue wildcard,Joymode,http://joymode.com/club5,Los Angeles The Internet,
venue wildcard,Museo,Mon-Weds: By AppointmentThu-Sat: 12pm-8pmSunday: 12pm-5pm,2516 W Sunset Silver Lake,(323) 673-0133
venue wildcard,Garrett Leight California Optical,Mon - Sun 11am-7pm,165 S La Brea Fairfax,(323) 931-4018
venue wildcard,Collection,Weds-Fri 12pm-7pmSat 12pm-6pmSun 12pm-5pm,1282 W Sunset Echo Park,(213) 640-2572
venue wildcard,Time Travel Mart,Mon-Sun 12pm-6pm,1714 W Sunset Echo Park,(213) 413-3388
venue wildcard,East/West Shop,Wed - Sat 12pm - 8pm,727 N Broadway #115 Chinatown,
venue wildcard,Organic Kind,Mon 12am - 8pmTues - Sat 11am - 10pmSun 12pm - 8pm,NE Los Angeles The Internet,323-574-0248
venue wildcard,Pacific Tote Company,Thurs & Fri 10am - 5pmSat & Sun 11am - 5pm,1829 W Sunset Echo Park,
venue wildcard,Virgil Normal,Tue - Sat 11am - 7pm,4157 Normal East Hollywood,323-741-8489
venue wildcard,Meltdown Comics,Mon & Tue 11am - 9pmWed 11am - 10pmWed - Sun 11am - 9pm,7522 Sunset West Hollywood,323-851-7223
venue wildcard,Myrtle,Tue - Sat 11am - 7pmSun 12pm - 6pm,2213 Sunset Echo Park,213-413-0004
venue wildcard,Face Haus,Mon - Sat 10am - 8pmSun 10am - 6pm,8377 W 3rd West Hollywood,855-550-4287
venue wildcard,Southpaw,Mon & Tue 11am - 8pmWed 1pm - 8pmThurs & Fri 10am - 7pmSat & Sun 9am - 6pm,2522 Hyperion Silver Lake,323-230-9966
venue wildcard,The Establishment,Mon - Wed 11am -8pmThurs & Fri 10am -7pmSat & Sun 9am -6pm,2894 Rowena Silver Lake,323-230-6100
venue wildcard,The New California Barber,Mon - Sat 11am - 7pmSun 11am - 5pm,2203 W Sunset Silver Lake,213-568-3667
